NR_name,tracer_id,date_started,date_completed,comments,ConnID,Conn_x,Conn_y,Conn_z,Pre_skel,Post_skel,URL
,,,,,1180156.0,240256.0,286304.0,15320.0,74410.0,1286248.0,http://catmaid.hms.harvard.edu/?pid=1012&zp=15320.0&yp=286304.0&xp=240256.0&tool=tracingtool&sid0=6&s0=-2
,,,,,1033086.0,367120.0,219876.0,10720.0,53858.0,1227596.0,http://catmaid.hms.harvard.edu/?pid=1012&zp=10720.0&yp=219876.0&xp=367120.0&tool=tracingtool&sid0=6&s0=-2
,,,,,1033568.0,347504.0,223788.0,10520.0,53858.0,1229208.0,http://catmaid.hms.harvard.edu/?pid=1012&zp=10520.0&yp=223788.0&xp=347504.0&tool=tracingtool&sid0=6&s0=-2
,,,,,1035160.0,372332.0,221168.0,7640.0,53858.0,1231758.0,http://catmaid.hms.harvard.edu/?pid=1012&zp=7640.0&yp=221168.0&xp=372332.0&tool=tracingtool&sid0=6&s0=-2
,,,,,1040162.0,366584.0,225780.0,5760.0,53858.0,1232208.0,http://catmaid.hms.harvard.edu/?pid=1012&zp=5760.0&yp=225780.0&xp=366584.0&tool=tracingtool&sid0=6&s0=-2
,,,,,1046064.0,302504.0,355892.0,7320.0,284979.0,520021.0,http://catmaid.hms.harvard.edu/?pid=1012&zp=7320.0&yp=355892.0&xp=302504.0&tool=tracingtool&sid0=6&s0=-2
,,,,,1051046.0,304920.0,358304.0,11320.0,284979.0,2936482.0,http://catmaid.hms.harvard.edu/?pid=1012&zp=11320.0&yp=358304.0&xp=304920.0&tool=tracingtool&sid0=6&s0=-2
,,,,,1063094.0,324272.0,371616.0,13960.0,284979.0,215638.0,http://catmaid.hms.harvard.edu/?pid=1012&zp=13960.0&yp=371616.0&xp=324272.0&tool=tracingtool&sid0=6&s0=-2
,,,,,1063930.0,324540.0,366916.0,2160.0,284979.0,1157490.0,http://catmaid.hms.harvard.edu/?pid=1012&zp=2160.0&yp=366916.0&xp=324540.0&tool=tracingtool&sid0=6&s0=-2
,,,,,1149366.0,357888.0,399784.0,28760.0,53858.0,1271772.0,http://catmaid.hms.harvard.edu/?pid=1012&zp=28760.0&yp=399784.0&xp=357888.0&tool=tracingtool&sid0=6&s0=-2
,,,,,1192793.0,262360.0,402540.0,26240.0,922922.0,215638.0,http://catmaid.hms.harvard.edu/?pid=1012&zp=26240.0&yp=402540.0&xp=262360.0&tool=tracingtool&sid0=6&s0=-2
,,,,,1094144.0,332428.0,390736.0,17280.0,53858.0,72324.0,http://catmaid.hms.harvard.edu/?pid=1012&zp=17280.0&yp=390736.0&xp=332428.0&tool=tracingtool&sid0=6&s0=-2
,,,,,1209097.0,315968.0,344504.0,2120.0,215638.0,950868.0,http://catmaid.hms.harvard.edu/?pid=1012&zp=2120.0&yp=344504.0&xp=315968.0&tool=tracingtool&sid0=6&s0=-2
,,,,,1098002.0,331356.0,351060.0,2760.0,53858.0,139314.0,http://catmaid.hms.harvard.edu/?pid=1012&zp=2760.0&yp=351060.0&xp=331356.0&tool=tracingtool&sid0=6&s0=-2
,,,,,1224383.0,331116.0,390052.0,9920.0,950868.0,199183.0,http://catmaid.hms.harvard.edu/?pid=1012&zp=9920.0&yp=390052.0&xp=331116.0&tool=tracingtool&sid0=6&s0=-2
,,,,,1151534.0,333740.0,393356.0,22440.0,53858.0,38321.0,http://catmaid.hms.harvard.edu/?pid=1012&zp=22440.0&yp=393356.0&xp=333740.0&tool=tracingtool&sid0=6&s0=-2
,,,,,1179360.0,247424.0,295712.0,20160.0,74410.0,72324.0,http://catmaid.hms.harvard.edu/?pid=1012&zp=20160.0&yp=295712.0&xp=247424.0&tool=tracingtool&sid0=6&s0=-2
,,,,,1179204.0,247196.0,297204.0,20920.0,74410.0,1285762.0,http://catmaid.hms.harvard.edu/?pid=1012&zp=20920.0&yp=297204.0&xp=247196.0&tool=tracingtool&sid0=6&s0=-2
,,,,,1424472.0,511244.0,405332.0,29200.0,1403212.0,1518538.0,http://catmaid.hms.harvard.edu/?pid=1012&zp=29200.0&yp=405332.0&xp=511244.0&tool=tracingtool&sid0=6&s0=-2
,,,,,1424494.0,510836.0,404416.0,29560.0,1403212.0,1518538.0,http://catmaid.hms.harvard.edu/?pid=1012&zp=29560.0&yp=404416.0&xp=510836.0&tool=tracingtool&sid0=6&s0=-2
,,,,,1425130.0,517360.0,412436.0,29280.0,1403212.0,1518538.0,http://catmaid.hms.harvard.edu/?pid=1012&zp=29280.0&yp=412436.0&xp=517360.0&tool=tracingtool&sid0=6&s0=-2
,,,,,1432542.0,512204.0,371788.0,16920.0,1403212.0,1520712.0,http://catmaid.hms.harvard.edu/?pid=1012&zp=16920.0&yp=371788.0&xp=512204.0&tool=tracingtool&sid0=6&s0=-2
,,,,,1433048.0,503568.0,365480.0,19320.0,1403212.0,1518538.0,http://catmaid.hms.harvard.edu/?pid=1012&zp=19320.0&yp=365480.0&xp=503568.0&tool=tracingtool&sid0=6&s0=-2
,,,,,1434560.0,480584.0,351288.0,22000.0,1403212.0,141822.0,http://catmaid.hms.harvard.edu/?pid=1012&zp=22000.0&yp=351288.0&xp=480584.0&tool=tracingtool&sid0=6&s0=-2
,,,,,1438264.0,454300.0,330248.0,27680.0,1403212.0,1521954.0,http://catmaid.hms.harvard.edu/?pid=1012&zp=27680.0&yp=330248.0&xp=454300.0&tool=tracingtool&sid0=6&s0=-2
,,,,,1439704.0,455788.0,331328.0,28400.0,1403212.0,1521954.0,http://catmaid.hms.harvard.edu/?pid=1012&zp=28400.0&yp=331328.0&xp=455788.0&tool=tracingtool&sid0=6&s0=-2
,,,,,1440080.0,453852.0,329164.0,27400.0,1403212.0,1521954.0,http://catmaid.hms.harvard.edu/?pid=1012&zp=27400.0&yp=329164.0&xp=453852.0&tool=tracingtool&sid0=6&s0=-2
,,,,,1440686.0,451344.0,327900.0,27400.0,1403212.0,1521954.0,http://catmaid.hms.harvard.edu/?pid=1012&zp=27400.0&yp=327900.0&xp=451344.0&tool=tracingtool&sid0=6&s0=-2
,,,,,1446054.0,520736.0,350608.0,10680.0,1403212.0,1525700.0,http://catmaid.hms.harvard.edu/?pid=1012&zp=10680.0&yp=350608.0&xp=520736.0&tool=tracingtool&sid0=6&s0=-2
,,,,,1446234.0,521488.0,344424.0,11440.0,1403212.0,1525700.0,http://catmaid.hms.harvard.edu/?pid=1012&zp=11440.0&yp=344424.0&xp=521488.0&tool=tracingtool&sid0=6&s0=-2
,,,,,1447790.0,517544.0,305868.0,6960.0,1403212.0,1525700.0,http://catmaid.hms.harvard.edu/?pid=1012&zp=6960.0&yp=305868.0&xp=517544.0&tool=tracingtool&sid0=6&s0=-2
,,,,,1448928.0,518204.0,288392.0,6160.0,1403212.0,1525700.0,http://catmaid.hms.harvard.edu/?pid=1012&zp=6160.0&yp=288392.0&xp=518204.0&tool=tracingtool&sid0=6&s0=-2
,,,,,1449034.0,517736.0,288096.0,6600.0,1403212.0,1525700.0,http://catmaid.hms.harvard.edu/?pid=1012&zp=6600.0&yp=288096.0&xp=517736.0&tool=tracingtool&sid0=6&s0=-2
,,,,,1449412.0,516512.0,275332.0,4240.0,1403212.0,1525700.0,http://catmaid.hms.harvard.edu/?pid=1012&zp=4240.0&yp=275332.0&xp=516512.0&tool=tracingtool&sid0=6&s0=-2
,,,,,1492734.0,269944.0,303592.0,15400.0,923242.0,215638.0,http://catmaid.hms.harvard.edu/?pid=1012&zp=15400.0&yp=303592.0&xp=269944.0&tool=tracingtool&sid0=6&s0=-2
,,,,,1503254.0,282640.0,323720.0,13880.0,923242.0,215638.0,http://catmaid.hms.harvard.edu/?pid=1012&zp=13880.0&yp=323720.0&xp=282640.0&tool=tracingtool&sid0=6&s0=-2
,,,,,1512312.0,534016.0,432296.0,12360.0,1403212.0,1525700.0,http://catmaid.hms.harvard.edu/?pid=1012&zp=12360.0&yp=432296.0&xp=534016.0&tool=tracingtool&sid0=6&s0=-2
,,,,,1262965.0,323472.0,370676.0,14680.0,520646.0,215638.0,http://catmaid.hms.harvard.edu/?pid=1012&zp=14680.0&yp=370676.0&xp=323472.0&tool=tracingtool&sid0=6&s0=-2
,,,,,1447427.0,319476.0,302312.0,10240.0,215638.0,324905.0,http://catmaid.hms.harvard.edu/?pid=1012&zp=10240.0&yp=302312.0&xp=319476.0&tool=tracingtool&sid0=6&s0=-2
,,,,,1485323.0,306416.0,415016.0,18680.0,950868.0,192523.0,http://catmaid.hms.harvard.edu/?pid=1012&zp=18680.0&yp=415016.0&xp=306416.0&tool=tracingtool&sid0=6&s0=-2
,,,,,1514235.0,250984.0,300752.0,16280.0,950868.0,72324.0,http://catmaid.hms.harvard.edu/?pid=1012&zp=16280.0&yp=300752.0&xp=250984.0&tool=tracingtool&sid0=6&s0=-2
,,,,,1524953.0,274636.0,349124.0,11400.0,950868.0,519969.0,http://catmaid.hms.harvard.edu/?pid=1012&zp=11400.0&yp=349124.0&xp=274636.0&tool=tracingtool&sid0=6&s0=-2
,,,,,1577717.0,231600.0,364556.0,11240.0,215638.0,1913582.0,http://catmaid.hms.harvard.edu/?pid=1012&zp=11240.0&yp=364556.0&xp=231600.0&tool=tracingtool&sid0=6&s0=-2
,,,,,1694361.0,332572.0,321196.0,3480.0,215638.0,324905.0,http://catmaid.hms.harvard.edu/?pid=1012&zp=3480.0&yp=321196.0&xp=332572.0&tool=tracingtool&sid0=6&s0=-2
,,,,,1568484.0,334184.0,367228.0,16240.0,923242.0,199183.0,http://catmaid.hms.harvard.edu/?pid=1012&zp=16240.0&yp=367228.0&xp=334184.0&tool=tracingtool&sid0=6&s0=-2
,,,,,1609038.0,313196.0,372560.0,19080.0,923242.0,215638.0,http://catmaid.hms.harvard.edu/?pid=1012&zp=19080.0&yp=372560.0&xp=313196.0&tool=tracingtool&sid0=6&s0=-2
,,,,,1630334.0,339848.0,345652.0,10880.0,923242.0,72324.0,http://catmaid.hms.harvard.edu/?pid=1012&zp=10880.0&yp=345652.0&xp=339848.0&tool=tracingtool&sid0=6&s0=-2
,,,,,1634010.0,351560.0,365904.0,8440.0,1207256.0,1157490.0,http://catmaid.hms.harvard.edu/?pid=1012&zp=8440.0&yp=365904.0&xp=351560.0&tool=tracingtool&sid0=6&s0=-2
,,,,,1636010.0,287044.0,245344.0,13000.0,923242.0,1285762.0,http://catmaid.hms.harvard.edu/?pid=1012&zp=13000.0&yp=245344.0&xp=287044.0&tool=tracingtool&sid0=6&s0=-2
,,,,,1641476.0,329556.0,279256.0,14800.0,1207256.0,2054098.0,http://catmaid.hms.harvard.edu/?pid=1012&zp=14800.0&yp=279256.0&xp=329556.0&tool=tracingtool&sid0=6&s0=-2
,,,,,1649824.0,293712.0,263088.0,19480.0,1207256.0,951990.0,http://catmaid.hms.harvard.edu/?pid=1012&zp=19480.0&yp=263088.0&xp=293712.0&tool=tracingtool&sid0=6&s0=-2
,,,,,1651132.0,387000.0,335168.0,17920.0,1207256.0,199183.0,http://catmaid.hms.harvard.edu/?pid=1012&zp=17920.0&yp=335168.0&xp=387000.0&tool=tracingtool&sid0=6&s0=-2
,,,,,1888733.0,307935.90625,322840.03125,14080.0,1227596.0,215638.0,http://catmaid.hms.harvard.edu/?pid=1012&zp=14080.0&yp=322840.03125&xp=307935.90625&tool=tracingtool&sid0=6&s0=-2
,,,,,1690094.0,439312.0,349536.0,27760.0,1207256.0,2094216.0,http://catmaid.hms.harvard.edu/?pid=1012&zp=27760.0&yp=349536.0&xp=439312.0&tool=tracingtool&sid0=6&s0=-2
,,,,,2191123.0,293280.0,353400.0,18600.0,1285762.0,215638.0,http://catmaid.hms.harvard.edu/?pid=1012&zp=18600.0&yp=353400.0&xp=293280.0&tool=tracingtool&sid0=6&s0=-2
,,,,,2191887.0,283584.0,356600.0,20840.0,1285762.0,215638.0,http://catmaid.hms.harvard.edu/?pid=1012&zp=20840.0&yp=356600.0&xp=283584.0&tool=tracingtool&sid0=6&s0=-2
,,,,,2193777.0,325280.0,370880.0,16120.0,1285762.0,215638.0,http://catmaid.hms.harvard.edu/?pid=1012&zp=16120.0&yp=370880.0&xp=325280.0&tool=tracingtool&sid0=6&s0=-2
,,,,,2198069.0,328808.0,410504.0,30080.0,1285762.0,215638.0,http://catmaid.hms.harvard.edu/?pid=1012&zp=30080.0&yp=410504.0&xp=328808.0&tool=tracingtool&sid0=6&s0=-2
,,,,,1800064.0,225712.0,358984.0,19440.0,1286248.0,2937744.0,http://catmaid.hms.harvard.edu/?pid=1012&zp=19440.0&yp=358984.0&xp=225712.0&tool=tracingtool&sid0=6&s0=-2
,,,,,2227785.0,284864.0,329520.0,5280.0,1285762.0,320134.0,http://catmaid.hms.harvard.edu/?pid=1012&zp=5280.0&yp=329520.0&xp=284864.0&tool=tracingtool&sid0=6&s0=-2
,,,,,2227923.0,305992.0,353408.0,5440.0,1285762.0,199183.0,http://catmaid.hms.harvard.edu/?pid=1012&zp=5440.0&yp=353408.0&xp=305992.0&tool=tracingtool&sid0=6&s0=-2
